"","Df","Sum Sq","Mean Sq","F value","Pr(>F)"
"MCC",1,13323.1203113061,13323.1203113061,91379.4260034728,0.00210598040453473
"RS",1,7231.38660636591,7231.38660636591,49597.9876979838,0.00285854593842025
"OF",1,5803.99354415746,5803.99354415746,39807.9118254977,0.00319074272767459
"MCC:RS",1,47.8941922619473,47.8941922619473,328.492402345324,0.0350895132603137
"MCC:OF",1,272.052692904371,272.052692904371,1865.93067835649,0.0147351582795855
"Residuals",6,86.8050530042292,14.4675088340382,,
" Lack of fit",5,86.6592530042292,17.3318506008458,118.87414678221,0.0695168887015915
" Pure Error",1,0.145799999999997,0.145799999999997,,
